title,overview,release_year,genres,director,cast,source,vote_average,runtime
Conan the Barbarian,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",1982,"['Adventure', 'Fantasy', 'Action']",['John Milius'],"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman', 'Cassandra Gava', 'Ben Davidson', 'Gerry Lopez', 'Mako', 'Valérie Quennessen', 'William Smith', 'Luis Barboo', 'Franco Columbu', 'Nadiuska', 'Jack Taylor', 'Sven-Ole Thorsen', 'Pilar Alcón', 'Jorge Sanz']",tmdb,6.6,129.0
Cinderella Man,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",2005,"['Romance', 'Drama', 'History']",['Ron Howard'],"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Paddy Considine', 'Bruce McGill', 'David Huband', 'Connor Price', 'Ariel Waller', 'Patrick Louis', 'Rosemarie DeWitt', 'Linda Kash', 'Nicholas Campbell', 'Gene Pyrz', 'Chuck Shamata', 'Ron Canada', 'Matthew G. Taylor', 'Rance Howard', 'James Ritz', 'Fulvio Cecere', 'Clint Howard', 'Ken James', 'Rufus Crawford', 'Wayne Gordon', 'Nick Alachiotis', 'Stuart Clark', 'Eric Fink', 'Sergio Di Zio', 'Gavin Grazer', 'Boyd Banks', 'Daniel Kash', 'Judah Katz', 'Angelo Tsarouchas', 'Robert Smith', 'Aaron Abrams', 'Duff MacDonald', 'Christopher Crumb', 'Gerry Quigley', 'Peter MacNeill', 'Darrin Brown', 'James Kirchner', 'Nola Augustson', 'Gino Marrocco', 'Alec Stockwell', 'Chick Roberts', 'Isabella Fink', 'Beau Starr', 'Philip Craig', 'Roman Podhora', 'R.D. Reid', 'Michael Dyson', 'Sam Malkin', 'Tony Munch', 'Conrad Bergschneider', 'Richard Binsley', 'Ramona Pringle', 'Alon Nashman', 'Dominic Cuzzocrea', 'Neil Foster', 'Brian Jagersky', 'Tim Eddis', 'Krysta Carter', 'Rick Cordeiro', 'Riva Di Paola', 'Andrew Priestman', 'Michael Stevens', 'Egidio Tari', 'Mark Falvo']",tmdb,7.3,144.0
Twister,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",1996,"['Action', 'Adventure', 'Drama']",['Jan de Bont'],"['Helen Hunt', 'Bill Paxton', 'Cary Elwes', 'Jami Gertz', 'Philip Seymour Hoffman', 'Lois Smith', 'Alan Ruck', 'Sean Whalen', 'Scott Thomson', 'Todd Field', 'Joey Slotnick', 'Wendle Josepher', 'Jeremy Davies', 'Zach Grenier', 'Gregory Sporleder', 'Alexa PenaVega']",tmdb,6.1,113.0
Cast Away,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.",2000,"['Adventure', 'Drama']",['Robert Zemeckis'],"['Tom Hanks', 'Helen Hunt', 'Chris Noth', 'Paul Sanchez', 'Lari White', 'Leonid Citer', 'David Allen Brooks', 'Semion Sudarikov', 'Peter von Berg', 'Dmitri S. Boudrine', 'Nick Searcy', 'François Duhamel', 'Michael Forest', 'Lauren Birkell']",tmdb,7.5,143.0
The Bourne Supremacy,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",2004,"['Action', 'Drama', 'Thriller']",['Paul Greengrass'],"['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban', 'Gabriel Mann', 'Joan Allen', 'Marton Csokas', 'Tom Gallop', 'John Bedford Lloyd', 'Ethan Sandler', 'Michelle Monaghan', 'Karel Roden', 'Tomas Arana', 'Oksana Akinshina', 'Yevgeni Sitokhin', 'Marina Weis', 'Tim Griffin', 'Sean Smith', 'Maxim Kovalevski', 'Patrick Crowley', 'Jon Collin Barclay', 'Sam Brown', 'Shane Sinutko', 'Barnaby Smith', 'Dominique Chiout', 'Wanja Mues', 'Aleksey Shmarinov', 'Stephan Wolf-Schönburg', 'Olov Ludwig', 'Keshav Nadkarni', 'Violetta Gräfin Tarnowska Bronner', 'Aleksey Medvedev', 'Aleksandr Dubina', 'Aleksandr Boev', 'Claudio Maniscalco', 'Manfred Witt', 'Aleksey Trotsenko', 'Victoria Unikel', 'Oksana Semenova', 'Vitaliy Abdulov', 'Dirk Schoedon', 'Ivan Shvedoff', 'Denis Burgazliev', 'Nick Wilder', 'Chris Cooper']",tmdb,7.2,108.0
Air Force One,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",1997,"['Action', 'Thriller']",['Wolfgang Petersen'],"['Harrison Ford', 'Gary Oldman', 'Glenn Close', 'Wendy Crewson', 'William H. Macy', 'Jürgen Prochnow', 'Oleg Taktarov', 'Liesel Matthews', 'Paul Guilfoyle', 'Xander Berkeley', 'Dean Stockwell', 'Tom Everett', 'Donna Bullock', 'Michael Ray Miller', 'Carl Weintraub', 'Elester Latham', 'Elya Baskin', 'Levan Uchaneishvili', 'David Vadim', 'Andrew Divoff', 'Ilia Volok', 'Chris Howell', 'Spencer Garrett', 'Bill Smitrovich', 'Philip Baker Hall', 'Willard E. Pugh', 'Michael Monks', 'Fenton Lawless', 'Dan Shor', 'David Gianopoulos', 'Glenn Morshower', 'Don McManus', 'Brian Libby', 'Diana Bellamy', 'Thom Barry', 'E.E. Bell', 'Boris Lee Krutonog', 'Alex Veadov']",tmdb,6.2,124.0
Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",2001,"['Thriller', 'Crime']",['Steven Soderbergh'],"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Carl Reiner', 'Bernie Mac', 'Elliott Gould', 'Eddie Jemison', 'Shaobo Qin', 'Scott L. Schwartz', 'Scott Beringer', 'Henry Silva', 'Holly Marie Combs', 'Steven Soderbergh', 'Kerry Rossall', 'Tim Perez', 'Rusty Meyers', 'Don Cheadle', 'Shane West', 'Joe La Due']",tmdb,7.2,116.0
Hotel Transylvania,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",2012,"['Animation', 'Comedy', 'Family', 'Fantasy']",['Genndy Tartakovsky'],"['Adam Sandler', 'Steve Buscemi', 'David Spade', 'Kevin James', 'Selena Gomez', 'Andy Samberg', 'Fran Drescher', 'Molly Shannon', 'Cee Lo Green', 'Jon Lovitz', 'Rick Kavanian', 'Elyas M’Barek', 'Josefine Preuß', 'Sadie Sandler', 'Jackie Sandler', 'Brian Stack', 'Chris Parnell', 'Robert Smigel', 'Rob Riggle', 'Paul Brittain', 'Brian McCann', 'Jonny Solomon', 'Jim Wise', 'James C.J. Williams']",tmdb,6.8,91.0
Enchanted,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007,"['Comedy', 'Family', 'Fantasy', 'Romance']",['Kevin Lima'],"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Rachel Covey', 'Susan Sarandon', 'Idina Menzel', 'Julie Andrews', 'Jeff Bennett', 'Kevin Lima', 'Emma Rose Lima', 'Teala Dunn', 'Fred Tatasciore', 'Courtney Williams', 'William Huntley']",tmdb,6.6,107.0
Safe House,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",2012,"['Action', 'Thriller']",['Daniel Espinosa'],"['Denzel Washington', 'Ryan Reynolds', 'Vera Farmiga', 'Joel Kinnaman', 'Brendan Gleeson', 'Sam Shepard', 'Nora Arnezeder', 'Liam Cunningham', 'Fares Fares', 'Jenna Dover', 'Stephen Rider', 'Daniel Fox', 'Tracie Thoms', 'Robert Patrick', 'Rubén Blades', 'Stephen Bishop', 'Tanit Phoenix']",tmdb,6.3,115.0
The Holiday,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",2006,"['Comedy', 'Romance']",['Nancy Meyers'],"['Cameron Diaz', 'Kate Winslet', 'Jude Law', 'Jack Black', 'Eli Wallach', 'Edward Burns', 'Rufus Sewell', 'Miffy Englefield', 'Emma Pritchard', 'Sarah Parish', 'Shannyn Sossamon', 'Bill Macy', 'Shelley Berman', 'Kathryn Hahn', 'John Krasinski', 'Odette Annable', ""Alex O'Loughlin"", 'Dustin Hoffman', 'Lydia Blanco Garza', 'James Franco', 'Lindsay Lohan']",tmdb,6.7,136.0
Enemy of the State,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.",1998,"['Action', 'Drama', 'Thriller']",['Tony Scott'],"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Regina King', 'Ian Hart', 'Lisa Bonet', 'Barry Pepper', 'James Le Gros', 'Jake Busey', 'Scott Caan', 'Jamie Kennedy', 'Jason Lee', 'Gabriel Byrne', 'Jascha Washington', 'Stuart Wilson', 'Jack Black', 'Anna Gunn', 'Laura Cayouette', 'Loren Dean', 'Bodhi Elfman', 'Dan Butler', 'Grant Heslov', 'Ivana Miličević', 'Seth Green', 'Philip Baker Hall', 'Jason Robards', 'Tom Sizemore', 'Brian Markinson', 'Larry King', 'Tom Quinn', 'Brenna McDonough', 'Bobby Boriello', 'Carl Mergenthaler', 'Donna W. Scott', 'Allison Sie', 'Lillo Brancato', 'John Capodice', 'Arthur J. Nascarella', 'Frank Medrano', 'Joseph Patrick Kelly', 'Lennox Brown', 'Nancy Yee', 'Christopher Lawrence', 'Tom Sizemore']",tmdb,6.7,132.0
Ocean's Thirteen,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",2007,"['Crime', 'Thriller']",['Steven Soderbergh'],"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Al Pacino', 'Bernie Mac', 'Andy García', 'Casey Affleck', 'Scott Caan', 'Carl Reiner', 'Don Cheadle', 'Shaobo Qin', 'Eddie Jemison', 'Elliott Gould', 'Ellen Barkin', 'Eddie Izzard', 'Vincent Cassel', 'Bob Einstein', 'Céline Dion', 'Nancy Stelle', 'Tim Conlon', 'Julian Sands', 'David Paymer', 'Angel Oquendo', 'Kari Hawker-Diaz', 'Amber Hay']",tmdb,6.5,122.0
Open Season,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",2006,"['Adventure', 'Animation', 'Family']","['Jill Culton', 'Roger Allers', 'Anthony Stacchi']","['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing', 'Billy Connolly', 'Georgia Engel', 'Jon Favreau', 'Jane Krakowski', 'Gordon Tootoosis', 'Patrick Warburton', 'Cody Cameron', 'Nika Futterman', 'Danny Mann', 'Jack McGee', 'Michelle Murdocca', 'Fergal Reilly', 'Jackie Harris']",tmdb,6.1,83.0
Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",2014,"['Adventure', 'Action', 'Science Fiction']",['Neil Burger'],"['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Miles Teller', 'Ray Stevenson', 'Maggie Q', 'Zoë Kravitz', 'Ansel Elgort', 'Jai Courtney', 'Ashley Judd', 'Tony Goldwyn', 'Mekhi Phifer', 'Ben Lloyd-Hughes', 'Christian Madsen', 'Amy Newbold', 'Parker Mack', 'Brandon Cyrus', 'Janet Ulrich Brooks', 'Yasmine Aker', 'Nathan Geist', 'Jaiden Hidalgo']",tmdb,6.9,139.0
Enemy at the Gates,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,2001,['War'],['Jean-Jacques Annaud'],"['Jude Law', 'Rachel Weisz', 'Ed Harris', 'Joseph Fiennes', 'Bob Hoskins', 'Ron Perlman', 'Eva Mattes', 'Gabriel Thomson', 'Matthias Habich', 'Alexander Schwan', 'Lenn Kudrjawizki', 'Gennadi Vengerov', 'Dan van Husen', 'Ivan Shvedoff', 'Sophie Rois', 'Mikhail Matveev']",tmdb,7.2,131.0
The Rundown,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.",2003,"['Adventure', 'Action', 'Comedy', 'Thriller']",['Peter Berg'],"['Dwayne Johnson', 'Seann William Scott', 'Rosario Dawson', 'Christopher Walken', 'Ernie Reyes, Jr.', 'Ewen Bremner', 'Jon Gries', 'William Lucking', 'Stuart F. Wilson', 'Dennis Keiffer', 'Garrett Warren', 'Toby Holguin', 'Stephen Bishop', 'Paul S. Power', 'Chuck Norman', 'Jamal Duff', 'John Duff', 'Jeff Chase', 'Price Jackson', 'Anthony Diaz-Perez', 'Arnold Schwarzenegger']",tmdb,6.4,104.0
Last Action Hero,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",1993,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",['John McTiernan'],"['Arnold Schwarzenegger', 'F. Murray Abraham', 'Art Carney', 'Charles Dance', 'Frank McRae', 'Tom Noonan', 'Anthony Quinn', 'Mercedes Ruehl', ""Austin O'Brien"", 'Robert Prosky', 'Ian McKellen', 'Joan Plowright', 'Leeza Gibbons', 'Tina Turner', 'Noah Emmerich', 'Colleen Camp', 'Danny DeVito', 'Jean-Claude Van Damme', 'Bridgette Wilson', 'Michael V. Gazzo', 'Chevy Chase', 'Jim Belushi']",tmdb,6.1,130.0
Memoirs of a Geisha,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",2005,"['Drama', 'History', 'Romance']",['Rob Marshall'],"['Zhang Ziyi', 'Gong Li', 'Youki Kudoh', 'Tsai Chin', 'Suzuka Ohgo', 'Ken Watanabe', 'Michelle Yeoh', 'Navia Nguyen', 'Koji Yakusho', 'Kaori Momoi', 'Zoe Weizenbaum', 'Cary-Hiroyuki Tagawa', 'Kenneth Tsang', 'Randall Duk Kim', 'Paul Adelstein', 'Ted Levine', 'Samantha Futerman', 'Karl Yune', 'Togo Igawa', 'Elizabeth Sung', 'Eugenia Yuan']",tmdb,7.3,145.0
The Fast and the Furious: Tokyo Drift,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",2006,"['Action', 'Crime', 'Drama', 'Thriller']",['Justin Lin'],"['Lucas Black', 'Nathalie Kelley', 'Sung Kang', 'Shad Moss', 'Brian Tee', 'Leonardo Nam', 'Brian Goodman', 'Zachery Ty Bryan', 'Nikki Griffin', 'Jason Tobin', 'Keiko Kitagawa', 'Lynda Boyd', 'Sonny Chiba', 'Vin Diesel', 'Damien Marzett', 'Trula M. Marcus', 'Brandon Brendel', 'Daniel Booko', 'David V. Thomas', 'Amber Stevens', 'Ashika Gogna', 'Christian Salazar', 'Kevin Caira', 'Julius Trey Sanford', 'Danny Ray McDonald II', 'Vincent Laresca', 'Joseph Crumpton', 'Yoko Maki', 'Rie Shibata', 'Toshi Hayama', 'Atley Siauw', 'Kazuki Namioka', 'Hiroshi Hatayama', 'Kaila Yu', 'Aiko Tanaka', 'Satoshi Tsumabuki', 'Konishiki', 'Caroline de Souza Correa', 'Silvia Šuvadová', 'Keiichi Tsuchiya', 'Kazutoshi Wadakura', 'Jimmy Lin', 'Verena Mei', 'Mari Jaramillo', 'Shôko Nakagawa', 'Mikiko Yano', 'Wendy Watanabe', 'Tina Tsunoda', 'Koji Kataoka', 'Tak Kubota', 'Stuart Yee', 'Mitsuki Koga', 'Hidesuke Motoki', 'Britten Kelley', 'Kevin Ryan', 'Alden Ray']",tmdb,6.1,104.0
Meet Joe Black,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",1998,"['Fantasy', 'Drama', 'Mystery']",['Martin Brest'],"['Brad Pitt', 'Anthony Hopkins', 'Claire Forlani', 'Jeffrey Tambor', 'Marcia Gay Harden', 'Jake Weber', 'David S. Howard', 'Lois Kelly-Miller', 'Jahnni St. John', 'Richard Clarke', 'June Squibb']",tmdb,6.9,178.0
Scott Pilgrim vs. the World,"Scott Pilgrim is a film adaptation of the critically acclaimed, award-winning series of graphic novels of the same name by Canadian cartoonist Bryan Lee O’Malley. Scott Pilgrim is a 23 year old Canadian slacker and wannabe rockstar who falls in love with an American delivery girl, Ramona V. Flowers, and must defeat her seven ""evil exes"" to be able to date her.",2010,"['Action', 'Adventure', 'Comedy']",['Edgar Wright'],"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Chris Evans', 'Anna Kendrick', 'Alison Pill', 'Brandon Routh', 'Jason Schwartzman', 'Ellen Wong', 'Satya Bhabha', 'Mae Whitman', 'Johnny Simmons', 'Brie Larson', 'Mark Webber', 'Erik Knudsen', 'Aubrey Plaza', 'Nelson Franklin', 'Jean Yoon', 'Kristina Pesic', 'Abigail Chu', 'Ben Lewis', 'Ingrid Haas', 'Chantelle Chung', 'Emily Kassie', 'John Patrick Amedori', 'Marlee Otto', 'Will Seatle Bowes', 'Thomas Jane', 'Clifton Collins Jr', 'Bill Hader']",tmdb,7.2,112.0
Dredd,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",2012,"['Action', 'Science Fiction']",['Pete Travis'],"['Karl Urban', 'Olivia Thirlby', 'Lena Headey', 'Wood Harris', 'Jason Cope', 'Domhnall Gleeson', 'Rakie Ayola', 'Deobia Oparei', 'Langley Kirkwood', 'Warrick Grier', 'Scott Sparrow', 'Porteus Xandau', 'Joe Vaz', 'Nicole Bailey', 'Karl Thaning']",tmdb,6.6,95.0
